"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VQLA7NDJ","book","2013","Fiedler, Norman; Ketzan, Erik; Fischer, Thomas; Gnadt, Timo; Rathmann, Torsten; Stöckle, Gabriel","Leitfaden zum Forschungsdaten-Management: Handreichungen aus dem WissGrid-Projekt","","978-3-86488-032-2","","","https://publications.goettingen-research-online.de/handle/2/14366","Digitale Forschungsdaten sind eine unverzichtbare Grundlage morderner Wissenschaft. Mit ihnen sind aber eine Reihe von notwendigen Datenmanagement-Aufgaben verbunden, damit sie in der aktiven Forschung bestmöglich eingesetzt werden können und die gute wissenschaftliche Praxis eingehalten wird. Wie lange sollen die Daten aufbewahrt werden? Welche Kontextinformtionen müssen erfasst werden, um die Daten zu einem späteren Zeitpunkt noch sinnvol benutzen zu können? Wie viel kostet die Aufbewahrung? Dieses Buch kann diese Fragen nur aufwerfen, nicht beantworten. Denn ohne auf Details der jeweiligen Disziplin, Forschungsdaten und Projekte einzugehen, lassen sich diese Fragen nicht allegemeinverbindlich klären. Was dieses Buch jedoch mit einem Leitfaden und einer Checkliste bereitstellt, ist ein einfaches Instrument für fachwissenschatliche oder Infrastruktur-Einrichtungen, um die wichtigsten Aufgaben und Fragen im Forschungsdaten-Management strukturiert beantworten und effizient planen zu können.","2013","2023-09-18 09:50:27","2023-09-18 09:50:27","2023-09-18 09:50:27","","","","","","","Leitfaden zum Forschungsdaten-Management","","","","","Verlag Werner Hülsbusch","","de","CC BY-ND 3.0","","","","publications.goettingen-research-online.de","","Accepted: 2018-05-03T10:44:17Z","","C:\Users\lanza01\Zotero\storage\4FTNSV6U\Fiedler et al. - 2013 - Leitfaden zum Forschungsdaten-Management Handreic.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9EDLZNF3","journalArticle","2022","Verbund Forschungsdaten Bildung","Checkliste zur Erstellung eines Datenmanagementplans in der empirischen Bildungsforschung","","","","10.25656/01:22298","https://www.pedocs.de/frontdoor.php?source_opus=22298","Die Checkliste liefert eine Übersicht über die verschiedenen Bestandteile des Datenmanagements und kann als Basis für einen Datenmanagementplan verwendet werden. Eine kurze Einführung erläutert den Zweck des Datenmanagements für die sozialwissenschaftliche, empirische Forschung. (DIPF/Autor)","2022-04-05","2023-09-18 09:51:47","2024-05-13 11:13:50","2023-09-18 09:51:47","","","","","","","","","","","","","","de","Creative Commons Namensnennung - Weitergabe unter gleichen Bedingungen 4.0 International","","","","DOI.org (Datacite)","","Publisher: DIPF | Leibniz-Institut für Bildungsforschung und Bildungsinformation","","","","","370 Education; 370 Erziehung, Schul- und Bildungswesen; Data; Data acquisition; Data capture; Daten; Datenerfassung; Empirical research; Empirische Forschung; Forschung; Qualität; Quality; Research; Social research; Sozialforschung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TD2U37LX","webpage","","Deutsche Forschungsgemeinschaft","Handling of Research Data","www.dfg.de","","","","https://www.dfg.de/en/research_funding/principles_dfg_funding/research_data/index.html","","","2023-09-27 13:39:50","2024-09-02 12:51:39","2023-09-27 13:39:50","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\lanza01\Zotero\storage\JYIJJHZE\index.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9Z34GNR8","journalArticle","2021","Science Europe","Practical Guide to the International Alignment of Research Data Management - Extended Edition","","","","10.5281/zenodo.4915862","https://zenodo.org/record/4915862","This resource offers targeted guidance for organisations, scientific communities, as well as individual researchers, to organise research data and preserve it appropriately Originally released in 2019, and following its successful uptake by many organisations, the extended edition features a brand-new rubric to facilitate the evaluation of a data management plan (DMP). The guide also presents core requirements for DMPs, criteria for the selection of trustworthy repositories, and guidance for researchers to comply with organisational requirements.","2021-01-27","2023-09-27 12:32:48","2023-09-27 13:48:23","2023-09-27 12:32:48","","","","","","","","","","","","","","en","","","","","zenodo.org","","","","C:\Users\lanza01\Zotero\storage\HE8LCK4B\Europe - 2021 - Practical Guide to the International Alignment of .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E9LRPJT7","journalArticle","2018","Science Europe","Guidance Document Presenting a Framework for Discipline-specific Research Data Management","","","","10.5281/zenodo.4925907","https://zenodo.org/record/4925907","Research organisations and funders increasingly ask researchers to create Data Management Plans for their work and proposals. A lack of standardisation means that these can be time-consuming to create and difficult to compare and evaluate. Science Europe presents a framework for the creation of domain-specific protocols that can be used as standardised templates, reducing the administrative burden on both researchers, research organisations, and funders.","2018-01-18","2023-09-18 09:51:47","2023-09-27 13:48:14","2023-09-27 12:32:08","","","","","","","","","","","","","","en","","","","","zenodo.org","","","","C:\Users\lanza01\Zotero\storage\XZBP82JN\Europe - 2018 - Guidance Document Presenting a Framework for Disci.pdf","","","RDM; Research Data; Research Data Management; Open Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TX74XCYR","dataset","2021","Helbig, Kerstin; Paul-Stüve, Thilo; Rex, Jessica","DMP-Toolguide","","","","10.5281/ZENODO.4632308","https://zenodo.org/record/4632308","Die Unter-Arbeitsgruppe ""Datenmanagementpläne"" der DINI/nestor-AG Forschungsdaten hat eine Übersicht über Software zur Erstellung eines Datenmanagementplans zusammengestellt. Der ""DMP-Toolguide"" richtet sich insbesondere an Personen, die ein geeignetes DMP-Tool für Forschende der eigenen Einrichtung auswählen möchten. Die gewählten und analysierten Kategorien sollen dabei unterstützen, die Auswahl zu erleichtern. Die genannten DMP-Tools wurden im Zeitraum zwischen 7. Juli 2020 und 7. Januar 2021 analysiert. Der letzte Bearbeitungsstand ist März 2021.","2021-03-24","2023-09-27 13:19:04","2023-09-27 13:19:04","2023-09-27 13:19:04","","","","","","","","","","","","Zenodo","","de","Creative Commons Attribution 4.0 International, Open Access","","","","DOI.org (Datacite)","","","","","","","Data management plan; Datenmanagementplan; DMP; dmp software; dmp tool; DMP-Tool","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"64NA5U2C","journalArticle","2020","Helbig; Anders, Kerstin; Buchholz, Ivonne; Favella, Petra; Hausen, Gianpiero; Hendriks, Daniela; Klar, Sonja; Krause, Jochen; Paul-Stüve, Evamaria; Peters, Thilo; Rathmann, Karsten; Rehwald, Torsten; Rex, Stephanie; Soßna, Jessica; Sperling, Volker; Strauch, Johannes; Voigt, Annette","Erfahrungen und Empfehlungen aus der Beratung bei Datenmanagementplänen","","","2626-7489","10.17192/BFDM.2020.2.8283","https://bausteine-fdm.de/article/view/8283","Die nachfolgenden Empfehlungen beschreiben die Erfahrungen und Best Practices der Mitglieder der Unterarbeitsgruppe “Datenmanagementpläne” der DINI/nestor-AG Forschungsdaten. Sie sollen als Orientierungs- und Arbeitshilfe dienen und beschreiben mögliche Vorgehensweisen vor, während sowie nach einem Beratungstermin zu Datenmanagementplänen (DMP). Es wird auf die Bedeutung der Anforderungen der Forschungsförderer hingewiesen. Außerdem werden Checklisten, DMP-Templates und -Tools benannt sowie auf einzelne Unterschiede eingegangen. Einen weiteren wichtigen Punkt im Forschungsdatenmanagement und damit auch im DMP stellt die Kostenkalkulation dar. Zum Schluss wird auf die Evaluation von DMPs eingegangen, um die Qualität des DMPs zu prüfen, aus vorangegangenen DMPs zu lernen und die Beratung stetig zu verbessern.","2020-10-07","2023-09-27 13:19:04","2024-05-13 11:11:35","2023-09-27 13:19:04","","","","","","","Bausteine Forschungsdatenmanagement","","","","","","","de","Copyright (c) 2020 Kerstin Helbig, Ivonne Anders, Petra Buchholz, Gianpiero Favella, Daniela Hausen, Sonja Hendriks, Jochen Klar, Evamaria Krause, Thilo Paul-Stüve, Karsten Peters, Torsten Rathmann, Stephanie Rehwald, Jessica Rex, Volker Soßna, Johannes Sperling, Annette Strauch, Pia Voigt, Creative Commons Attribution 4.0 International","","","","DOI.org (Datacite)","","Medium: application/pdf Publisher: Philipps-Universität Marburg","","","","","Forschungsdaten; Forschungsdatenmanagement; Datenmanagementplan; DMP; Beratung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8K9ZPSHJ","presentation","2022","Netscher, Sebastian; Schwickerath, Anna; Eckert, Simon; Favella, Gianpiero; Meyermann, Alexia; Michaelis, Olaf","Stamp - Standardisierter Datenmanagementplan für die Bildungsforschung","","","","","https://zenodo.org/record/7057035","Researchers are increasingly confronted with requirements to systematically manage their research data. For many, research data management is a challenge. The Stamp is an easy solution to systematically manage data and make it available for re-use, i.e. data sharing. In line with the FAIR Data Principles, it promotes the idea of Open Science.   The Stamp was developed within the BMBF-funded project Domain-Data-Protocols for Empirical Educational Research, in a consortium of thirteen research infrastructure institutions in the social sciences or educational research between June 2019 and May 2022. Various stakeholders of the research community were involved in its development in several evaluation phases.   This workshop, funded by KonsortSWD, primarily targets researchers, research data management experts, and representatives of funding institutions in the context of educational research and related disciplines. After an introduction to the Stamp, participants will have the opportunity to ask questions, and to discuss the Stamp with the group.","2022-09-07","2023-09-27 13:16:45","2024-11-14 14:43:12","2023-09-27 13:16:45","","","","","","","","","","","","","","en","","","","","","","DOI: 10.5281/zenodo.6782477","","C:\Users\lanza01\Zotero\storage\WVVQDR6R\Netscher et al. - 2022 - Stamp - Standardisierter Datenmanagementplan für d.pdf","","data management plan; educational science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZGUMG6JA","presentation","2022","Netscher, Sebastian; Schwickerath, Anna; Eckert, Simon; Favella, Gianpiero; Michaelis, Olaf","Stamp - Standardisierter Datenmanagementplan für die Bildungsforschung","","","","","https://zenodo.org/record/6782478","Researchers are increasingly confronted with requirements to systematically manage their research data. For many, research data management is a challenge. The Stamp is an easy solution to systematically manage data in line with the FAIR Data Principles and the idea of Open Science. It was developed within the BMBF-funded project Domain-Data-Protocols for Empirical Educational Research, in a consortium of thirteen research infrastructure institutions. This workshop, funded by KonsortSWD, primarily targets researchers, research data management experts, and representatives of funding institutions in the context of educational research and related disciplines.","2022-06-30","2023-09-27 13:16:41","2024-11-14 14:43:24","2023-09-27 13:16:41","","","","","","","","","","","","","","de","","","","","","","DOI: 10.5281/zenodo.7057034","","C:\Users\lanza01\Zotero\storage\CFZ6A3TY\Netscher et al. - 2022 - Stamp - Standardisierter Datenmanagementplan für d.pdf","","data management plan; educational science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RX73KYAC","journalArticle","2022","Netscher, Sebastian; Anders, Ivonne; Henzen, Christin","Activities and Challenges in developing Discipline-Specific Data Management Plan Templates: From Vertical to Horizontal Integration of RDM Practices","Bausteine Forschungsdatenmanagement","","2626-7489","10.17192/bfdm.2022.1.8371","https://bausteine-fdm.de/article/view/8371","To provide tailored guidance on research data management, discipline-specific data management plan (DMP) templates are core. Different stakeholders are pursuing the development of such discipline-specific DMP templates in different ways. In this paper, we present three such approaches. First, we introduce the concept of domain data protocols, describing the work of the project Domain Data Protocols for Empirical Educational Research (in Germany). Members of this project develop tailored guidance on research data management (RDM) vertically, i.e., within the educational research discipline. Second, we present the approach of the Research Data Alliance Working Group on Discipline-specific Guidance for DMPs. The working group identifies discipline-specific DMP characteristics and uses them to analyse common practices and differences in RDM horizontally across disciplines. Finally, we describe the approach of the Research Data Management Organiser Sub-Working Group on Guidance, which facilitates mapping of discipline-specific DMP templates across disciplines. Although these three approaches differ in their underlying concepts, combining them facilitates identifying differences and commonalities in RDM across disciplines. By assigning discipline-specific characteristics and mapping these characteristics across disciplines, the three approaches improve our understanding of data management and research data within a particular discipline, as well as across disciplines.","2022-03-14","2023-09-26 13:56:25","2024-09-02 10:03:38","2023-09-26 13:56:25","13-25","","1","","","","Activities and Challenges in developing Discipline-Specific Data Management Plan Templates","","","","","","","de","Copyright (c) 2022 Sebastian Netscher, Ivonne Anders, Christin Henzen","","","","bausteine-fdm.de","","Number: 1","","","","","DMP; Anleitungen; Data Management Plan; disciplin-specific; fachspezifisch; Guidance; Template","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
